n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
200,None,1,0.74,0.875,0.21212121212121213,0.3414634146341463,21,3,78,278
200,None,1,0.76,0.85,0.1717171717171717,0.2857142857142857,17,3,82,278
200,None,1,0.78,0.8823529411764706,0.15151515151515152,0.25862068965517243,15,2,84,279
200,None,1,0.8,0.8666666666666667,0.13131313131313133,0.22807017543859653,13,2,86,279
200,None,5,0.2,0.32142857142857145,1.0,0.4864864864864865,99,209,0,72
200,None,5,0.22,0.33221476510067116,1.0,0.49874055415617125,99,199,0,82
200,None,5,0.24,0.34494773519163763,1.0,0.5129533678756476,99,188,0,93
200,None,5,0.26,0.3613138686131387,1.0,0.5308310991957105,99,175,0,106
200,None,5,0.28,0.3852140077821012,1.0,0.5561797752808989,99,158,0,123
200,None,5,0.3,0.41422594142259417,1.0,0.5857988165680473,99,140,0,141
200,None,5,0.32,0.44545454545454544,0.98989898989899,0.6144200626959248,98,122,1,159
200,None,5,0.34,0.47115384615384615,0.98989898989899,0.6384364820846906,98,110,1,171
200,None,5,0.36,0.5077720207253886,0.98989898989899,0.6712328767123288,98,95,1,186
200,None,5,0.38,0.5300546448087432,0.9797979797979798,0.6879432624113475,97,86,2,195
200,None,5,0.4,0.5680473372781065,0.9696969696969697,0.7164179104477613,96,73,3,208
200,None,5,0.42,0.5757575757575758,0.9595959595959596,0.7196969696969696,95,70,4,211
200,None,5,0.44,0.6050955414012739,0.9595959595959596,0.7421875,95,62,4,219
200,None,5,0.46,0.6413793103448275,0.9393939393939394,0.7622950819672132,93,52,6,229
200,None,5,0.48,0.6590909090909091,0.8787878787878788,0.7532467532467532,87,45,12,236
200,None,5,0.5,0.7,0.8484848484848485,0.7671232876712328,84,36,15,245
200,None,5,0.52,0.7168141592920354,0.8181818181818182,0.7641509433962264,81,32,18,249
200,None,5,0.54,0.7403846153846154,0.7777777777777778,0.7586206896551725,77,27,22,254
200,None,5,0.56,0.7604166666666666,0.7373737373737373,0.7487179487179487,73,23,26,258
200,None,5,0.58,0.7640449438202247,0.6868686868686869,0.7234042553191489,68,21,31,260
